file,class,speckle,small_clusters,color_regions,edge_density
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1059.png,world_24x24,7,11,13,0.1135
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_106.png,world_24x24,20,41,49,0.8857
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1060.png,world_24x24,9,14,16,0.1243
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1061.png,world_24x24,7,10,13,0.1131
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1062.png,world_24x24,13,21,25,0.2343
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1063.png,world_24x24,15,25,28,0.2309
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1064.png,world_24x24,15,25,29,0.2326
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1065.png,world_24x24,21,31,34,0.256
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1066.png,world_24x24,5,15,18,0.6471
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1067.png,world_24x24,5,13,17,0.7168
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1068.png,world_24x24,7,17,20,0.6723
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1069.png,world_24x24,3,11,15,0.6637
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_107.png,world_24x24,20,57,86,0.8814
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1070.png,world_24x24,7,21,26,0.6588
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1071.png,world_24x24,8,22,28,0.659
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1072.png,world_24x24,7,21,26,0.6474
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1073.png,world_24x24,7,21,27,0.6647
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1074.png,world_24x24,12,31,34,0.5885
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1075.png,world_24x24,3,12,14,0.8542
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1076.png,world_24x24,2,7,10,0.8333
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1077.png,world_24x24,3,14,15,0.9091
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1078.png,world_24x24,3,9,12,0.9286
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1079.png,world_24x24,3,6,10,0.6837
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_108.png,world_24x24,20,49,74,0.8947
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1080.png,world_24x24,6,15,18,0.5965
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1085.png,world_24x24,11,20,29,0.6267
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1086.png,world_24x24,11,20,29,0.6267
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1087.png,world_24x24,11,20,29,0.6267
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1088.png,world_24x24,4,4,10,0.3524
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1089.png,world_24x24,0,1,7,0.3906
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_109.png,world_24x24,40,80,96,0.8849
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1090.png,world_24x24,3,3,9,0.3646
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1091.png,world_24x24,4,4,6,0.2899
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1092.png,world_24x24,12,17,29,0.7529
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1093.png,world_24x24,9,13,25,0.467
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1094.png,world_24x24,10,14,25,0.6875
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1095.png,world_24x24,17,25,36,0.6389
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1096.png,world_24x24,10,18,31,0.5764
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1097.png,world_24x24,16,27,39,0.6944
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1098.png,world_24x24,19,25,34,0.625
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1099.png,world_24x24,9,13,21,0.4288
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_110.png,world_24x24,40,80,96,0.8849
