route,id,overall,A4,A5,A6_frac,A6
A,recolor_5051,WARN,6,PASS,0.0,WARN
A,recolor_5056,WARN,6,PASS,0.0,WARN
A,recolor_5057,WARN,6,PASS,0.0,WARN
B,seed0,WARN,6,PASS,0.0,WARN
B,seed1 [DISCARD non-frontal],WARN,7,PASS,0.0,WARN
B,seed2,WARN,7,PASS,0.0,WARN
B,seed3,WARN,7,PASS,0.0,WARN
B,seed4,WARN,6,PASS,0.0,WARN
B,seed5,WARN,6,PASS,0.0,WARN
B,seed6,WARN,4,PASS,0.0,WARN
B,seed7,WARN,7,PASS,0.0,WARN
