path,game_key,asset_class,treatment,stages_run,colors_before,colors_after,lint_before_overall,lint_after_overall,final_status,triage,notes
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5084.png,water_barrel,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",38,30,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN"", ""A4_color_count"": 30, ""A5_near_color_pairs"": 13, ""A6_outline_fraction"": 0.0}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5085.png,water_barrel,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",32,25,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN"", ""A4_color_count"": 25, ""A5_near_color_pairs"": 10, ""A6_outline_fraction"": 0.0455}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5086.png,vine,decal,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,5,5,FAIL,PASS,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""EXEMPT"", ""A4_color_count"": 5, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": """"}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5087.png,training_dummy,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",16,14,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""PASS"", ""A6"": ""WARN"", ""A4_color_count"": 14, ""A5_near_color_pairs"": 1, ""A6_outline_fraction"": 0.029}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5088.png,training_dummy,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",21,17,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""WARN"", ""A6"": ""WARN"", ""A4_color_count"": 17, ""A5_near_color_pairs"": 3, ""A6_outline_fraction"": 0.04}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5089.png,tool_rack,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",19,16,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""PASS"", ""A6"": ""WARN"", ""A4_color_count"": 16, ""A5_near_color_pairs"": 1, ""A6_outline_fraction"": 0.0143}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5090.png,tool_rack,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",16,15,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""WARN"", ""A6"": ""WARN"", ""A4_color_count"": 15, ""A5_near_color_pairs"": 4, ""A6_outline_fraction"": 0.1008}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5091.png,straw_pile,decal,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",17,10,FAIL,WARN,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""WARN"", ""A5"": ""WARN"", ""A6"": ""EXEMPT"", ""A4_color_count"": 10, ""A5_near_color_pairs"": 3, ""A6_outline_fraction"": """"}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5092.png,straw_pile,decal,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",11,6,FAIL,PASS,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""EXEMPT"", ""A4_color_count"": 6, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": """"}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5093.png,pillar,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",14,8,FAIL,WARN,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""WARN"", ""A4_color_count"": 8, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": 0.0}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5094.png,pillar,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",26,25,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN"", ""A4_color_count"": 25, ""A5_near_color_pairs"": 27, ""A6_outline_fraction"": 0.1835}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5095.png,pillar,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",20,17,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""WARN"", ""A6"": ""WARN"", ""A4_color_count"": 17, ""A5_near_color_pairs"": 4, ""A6_outline_fraction"": 0.0}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5096.png,shelf,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",18,13,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""WARN"", ""A6"": ""WARN"", ""A4_color_count"": 13, ""A5_near_color_pairs"": 3, ""A6_outline_fraction"": 0.0}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5097.png,shelf,prop,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",11,6,FAIL,WARN,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""WARN"", ""A4_color_count"": 6, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": 0.6122}"
