path,game_key,asset_class,treatment,stages_run,colors_before,colors_after,lint_before_overall,lint_after_overall,final_status,triage,mean_color_distance_vs_previous_live,notes
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5085.png,water_barrel,prop,fresh_pipeline,clean:no-op(0 partial-alpha at baseline);snap:applied fresh,32,25,,FAIL,nonconformant,redesign,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN""}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5086.png,vine,decal,fresh_pipeline_own_art_after_rubric_reject,"clean:no-op(0 partial-alpha at baseline);snap:applied fresh (own original art, per 2026-07-16 rubric review)",11,9,,WARN,conformant (WARN),,21.0,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""WARN"", ""A5"": ""PASS"", ""A6"": ""EXEMPT""}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5087.png,training_dummy,prop,fresh_pipeline,clean:no-op(0 partial-alpha at baseline);snap:applied fresh,16,10,,WARN,conformant (WARN),,13.5,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""WARN"", ""A5"": ""PASS"", ""A6"": ""WARN""}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5088.png,training_dummy,prop,fresh_pipeline,clean:no-op(0 partial-alpha at baseline);snap:applied fresh,21,17,,FAIL,nonconformant,retouch,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""WARN"", ""A6"": ""WARN""}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5089.png,tool_rack,prop,fresh_pipeline,clean:no-op(0 partial-alpha at baseline);snap:applied fresh,19,16,,FAIL,nonconformant,retouch,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""PASS"", ""A6"": ""WARN""}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5090.png,tool_rack,prop,fresh_pipeline,clean:no-op(0 partial-alpha at baseline);snap:applied fresh,16,15,,FAIL,nonconformant,retouch,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""WARN"", ""A6"": ""WARN""}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5091.png,straw_pile,decal,fresh_pipeline,clean:no-op(0 partial-alpha at baseline);snap:applied fresh,17,10,,WARN,conformant (WARN),,15.9,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""WARN"", ""A5"": ""WARN"", ""A6"": ""EXEMPT""}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5092.png,straw_pile,decal,fresh_pipeline,clean:no-op(0 partial-alpha at baseline);snap:applied fresh,11,6,,PASS,conformant,,14.8,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""EXEMPT""}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5093.png,pillar,prop,fresh_pipeline,clean:no-op(0 partial-alpha at baseline);snap:applied fresh,14,8,,WARN,conformant (WARN),,19.6,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""WARN""}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5094.png,pillar,prop,fresh_pipeline,clean:no-op(0 partial-alpha at baseline);snap:applied fresh,26,25,,FAIL,nonconformant,redesign,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""FAIL"", ""A5"": ""FAIL"", ""A6"": ""WARN""}"
